,0
0,बिस
1,यस
2,वरीपरी
3,आजको
4,आज
5,जनालाई
6,एकदम
7,यहाँसम्म
8,अझै
9,अलग
10,गर्नुपर्छ
11,राम्रो
12,प्रत्यक
13,थरि
14,कहिलेकाहीं
15,कमसेकम
16,देखिन्छ
17,अरु
18,सबैको
19,सुरुमै
20,सहितै
21,पछि
22,यद्ध्यपि
23,तिरको
24,चाहन्छु
25,समेत
26,कृपया
27,तथापि
28,जहाँ
29,भएकालाई
30,सायद
31,सत्र
32,उन्नाइस
33,जता
34,यसपछि
35,शायद
36,निकै
37,जस्तोसुकै
38,औ
39,तिनि
40,गरेका
41,संग
42,उनको
43,मुख्य
44,गर्छ
45,थिएन
46,बाट
47,यसले
48,त्यो
49,थिएँ
50,कसै
51,दोश्रो
52,नै
53,पहिलो
54,मेरो
55,त्यसो
56,तिन
57,भयो
58,छैन
59,बिरुद्ध
60,कसैलाई
61,तपाई
62,सरह
63,तत्काल
64,तपाईं
65,हामीलाई
66,पांच
67,छौ
68,लागेको
69,त
70,आदि
71,एक
72,तपाईको
73,भीत्र
74,जताततै
75,चौथो
76,मुन्तिर
77,तपाइ
78,होकि
79,द्वारा
80,मलाई
81,प्रतेक
82,वरिपरि
83,सहित
84,कोहीपनि
85,का
86,जो
87,गएर
88,यसको
89,उक्त
90,विरुद्ध
91,स्पष्ट
92,के
93,हाम्रो
94,दिन
95,भरि
96,चाहिए
97,यहाँ
98,यसो
99,तेस्रो
100,समय
101,फेरि
102,गरी
103,पर्नेमा
104,जना
105,गर्ने
106,देखि
107,यस्तो
108,तिनीहरूले
109,तथापी
110,बाहेक
111,हुनु
112,पर्याप्त
113,हाम्रा
114,ओठ
115,धौ
116,पहिले
117,प्लस
118,जसको
119,स्थित
120,दुई
121,सबै
122,भर
123,देखेर
124,भन्या
125,तिनीहरू
126,कति
127,कारण
128,आफै
129,कम
130,तेह्र
131,अघि
132,कि
133,सुनेर
134,जसमा
135,गर्दै
136,अरू
137,छौँ
138,चाहेर
139,हुनेछ
140,भए
141,जुनै
142,तिनीहरूको
143,बन्द
144,पछाडि
145,त्यहीँ
146,दश
147,हो
148,त्यस्तै
149,चौध
150,गर्छु
151,कसरी
152,झैं
153,त्यही
154,उन
155,गर्नु
156,जोपनि
157,आफ्नो
158,तिनीहरु
159,पर्ने
160,नौ
161,तिमी
162,गरौं
163,छैनन्
164,प्रति
165,त्यसपछि
166,जबकि
167,सङ्ग
168,कोहि
169,साँच्चै
170,गयौ
171,भएँ
172,या
173,होस्
174,बिशेष
175,गर्न
176,अन्यथा
177,मध्य
178,दर्ता
179,वाहेक
180,जस्तो
181,अर्थात
182,तैपनी
183,पहिल्यै
184,यति
185,सँगको
186,हुन्छ
187,लगायत
188,होइन
189,सात
190,त्यत्तिकैमा
191,देखेको
192,अन्तर्गत
193,ठूलो
194,रही
195,भएर
196,यसबाहेक
197,कतै
198,राखे
199,हरेक
200,तर्फ
201,बन्न
202,ठीक
203,माथी
204,केहि
205,थरी
206,आफू
207,ठाउँमा
208,आएको
209,साथ
210,थाहा
211,मात्र
212,तेश्रो
213,पछाडी
214,आएका
215,बरु
216,एघार
217,निर्दिष्ट
218,सबैलाई
219,दुइ
220,काम
221,चोटी
222,मात्रै
223,सक्ने
224,आए
225,अथवा
226,नभई
227,प्रत्येक
228,छ
229,उनि
230,वास्तवमा
231,यस्तै
232,हामीले
233,जनाको
234,कसैसँग
235,चाँडै
236,सधै
237,तसरी
238,भएन
239,आयो
240,हजार
241,दिनुहुन्छ
242,धन्न
243,त्यसमा
244,त्यहिँ
245,उसलाई
246,होइनन्
247,तापनी
248,त्यसैले
249,जसबाट
250,हुने
251,जस्तै
252,अगाडी
253,उसको
254,भित्र
255,छन्
256,तिनिहरुलाई
257,रहेको
258,तब
259,बताए
260,देखे
261,तापनि
262,जनाले
263,फेरी
264,तुरुन्त
265,सुनेको
266,भने्
267,को
268,गए
269,पछिल्लो
270,भएको
271,अनुसार
272,रुपमा
273,थप
274,जस्ता
275,वा
276,दिनुभएको
277,रहेका
278,तल
279,यसरी
280,बढी
281,क्रमशः
282,जाने
283,भरी
284,आफनो
285,औं
286,छू
287,जुन
288,उनीहरुको
289,सही
290,आफैँ
291,बाटो
292,सोचेर
293,ले
294,न
295,कहीं
296,त्यहाँ
297,किन
298,देख्न
299,दुइवटा
300,निम्नानुसार
301,यो
302,मैले
303,बाहिर
304,बीच
305,सधैं
306,निम्न
307,गएको
308,गरेको
309,चाहीं
310,आदिलाई
311,पन्ध्र
312,ऊ
313,हुन
314,सारा
315,भनेको
316,भन्दा
317,भित्री
318,तपाइँको
319,पिच्छे
320,धेरै
321,रे
322,नभनेर
323,उहाँलाई
324,कता
325,चार
326,भन्
327,हुँदैन
328,पटक
329,त्यस्तो
330,बीस
331,सोह्र
332,अरुलाई
333,यही
334,भा
335,ती
336,भनेर
337,चाहिंले
338,उसले
339,यसका
340,एउटै
341,एउटा
342,पनि
343,तीन
344,गरेर
345,राख्छ
346,कोही
347,कस्तो
348,लाख
349,छन
350,दिएको
351,यद्यपि
352,सक्छ
353,अर्थात्
354,तेस्कारण
355,त्यहीं
356,चाहेको
357,आफैलाई
358,चाले
359,अनि
360,अक्सर
361,भन्छन्
362,सङ्गको
363,दोस्रो
364,पाँच
365,किनभने
366,दिए
367,प्राय
368,अगाडि
369,तदनुसार
370,भन्दै
371,तिनीहरुको
372,गरि
373,निम्ति
374,लाई
375,तिनी
376,सुरुको
377,हुनत
378,सट्टा
379,फरक
380,नत्र
381,गर्यौं
382,म
383,जे
384,अर्को
385,वटा
386,कुरा
387,सोचेको
388,हैन
389,केही
390,कम से कम
391,भन
392,उदाहरण
393,अन्यत्र
394,तिर
395,उप
396,थिए
397,सय
398,सोध्न
399,छु
400,बीचमा
401,गर्दा
402,भयेन
403,आत्म
404,जसले
405,तिनीहरूलाई
406,बारे
407,कहिल्यै
408,तथा
409,नभएको
410,पर्छ
411,भन्ने
412,उ
413,तैपनि
414,कसैको
415,पक्का
416,त्यत्तिकै
417,गरे
418,मुनि
419,तिनै
420,अलि
421,मा
422,उहालाई
423,त्यसकारण
424,नजिकै
425,गर्छन्
426,जोपनी
427,तर
428,रूप
429,सोही
430,लागि
431,सँगसँगै
432,होला
433,त्यसको
434,कुनै
435,थिएनन्
436,यथोचित
437,लगभग
438,सम्भव
439,वापत
440,अन्य
441,पछी
442,पर्दैन
443,कुन
444,सँगै
445,पक्कै
446,जाहिर
447,चाहनुहुन्छ
448,माथि
449,सम्म
450,सो
451,त्यसले
452,अहिले
453,अब
454,घर
455,दोश्री
456,जान
457,अठार
458,छौं
459,देखियो
460,पाचौँ
461,उनी
462,हुन्थ्यो
463,आठ
464,तुरन्त
465,उनलाई
466,संगै
467,नगर्नू
468,आफूलाई
469,हुँ
470,त्यस
471,नि
472,बिच
473,जसरी
474,तुरुन्तै
475,अवस्था
476,त्सैले
477,भने
478,बने
479,भन्नुभयो
480,विशेष
481,मध्ये
482,हरे
483,कसरि
484,उनले
485,यी
486,नयाँ
487,यदि
488,तता
489,जबकी
490,थियो
491,त्सपछि
492,कोहिपनि
493,आफ्नै
494,कसैले
495,देख
496,पाँचौं
497,हामी
498,भन्छु
499,साथै
500,कहाँबाट
501,नगर्नु
502,पर्थ्यो
503,जब
504,जसलाई
505,सुरु
506,पूर्व
507,कुन्नी
508,पो
509,चाहिं
510,वाट
511,रहेछ
512,र
513,हुन्
514,बाह्र
515,यसमा
516,गैर
517,बिचमा
518,अरूलाई
519,सँग
520,भएका
521,नत्रभने
