Companies,Fields,Start Date,Duration,Stipend,Posted On,Apply By
UniConverge Technologies Private Limited,Machine Learning,Immediately,1 Month,2000 /month,24 Mar'20,21 Apr'20
Arihant Patawari,Natural Language Processing,Immediately,2 Months,5000 /month,23 Mar'20,21 Apr'20
BuyUcoin,Blockchain Analytics,Immediately,3 Months,6000-10000 /month,23 Mar'20,21 Apr'20
DPhi,Data Science - Content Development,Immediately,3 Months,6000-9000 /month,23 Mar'20,21 Apr'20
The Shaadi Times,Data Analytics,Immediately,1 Month,1000 /month,23 Mar'20,12 May'20
Softsensor.ai,Convolution Neural Network,Immediately,6 Months,    Unpaid,23 Mar'20,21 Apr'20
Get RIA,Actuary Or Actuarial Intern,Immediately,4 Months,5000-7000 /month,20 Mar'20,17 Apr'20
Medi-Caps University,Deep Learning,Immediately,1 Month,10000-20000 /month,20 Mar'20,18 Apr'20
Kapwise Technologies,Data Science,Immediately,1 Month,1000-5000 /month,17 Mar'20,14 Apr'20
Mavenai Technologies LTD,Machine Learning (AWS),Immediately,2 Months,8000 /month,16 Mar'20,14 Apr'20
HeyCloudy,Web Scrapping And Data Analytics,Immediately,2 Months,1000 /month,12 Mar'20,10 Apr'20
Pucho Technology Information Private Limited,Deep Learning,Immediately,5 Months,8000-13000 /month,12 Mar'20,1 May'20
Trader For Tomorrow,Financial Analysts (Intraday Trading),Immediately,3 Months,6000 /month +  Incentives,9 Mar'20,28 Apr'20
Sapne,Fund Analytics,Immediately,1 Month,5000 /month,22 Feb'20,11 Apr'20
